Аймаг;№;Сумын нэр;Өртөө/Харуулын нэр;Өргөрөг;Уртраг;Өндөр
УВС;1;Баруунтуруун;Баруунтуруун;49.65855;94.4042;1233.0
УВС;2;Ховд;Хөхтолгой;49.28229;90.91695;1419.68
УВС;3;Өмнөговь;Хар-Ус;49.10486;91.7263;1591.0
УВС;4;Малчин;Малчин;49.72893;93.27031;1393.4
УВС;5;Наранбулаг;Наранбулаг;49.38307;92.58559;1142.8
УВС;6;Өндөрхангай;Өндөрхангай;49.26809;94.85883;1862.23
УВС;7;Тэс;Тэс;50.47688;93.60313;799.7
УВС;8;Улаангом;Улаангом;49.97202;92.07824;938.85
УВС;9;Завхан;Завхан;48.82408;93.09839;1050.1
УВС;10;Цагаанхайрхан;Цагаанхайрхан;49.39827;94.24982;1745.0
УВС;11;Өлгий;Өлгий;49.03565;92.03541;1584.4
УВС;12;Давст;Давст;50.61776;92.39906;864.74
УВС;13;Сагил;Сагил;50.33782;91.61528;1132.4
УВС;14;Зүүнговь;Зүүнговь;49.90683;93.78506;996.0
УВС;15;Зүүнхангай;Зүүнхангай;49.31304;95.4494;1790.6
УВС;16;Хяргас;Хяргас;49.67515;93.77844;1371.5
УВС;17;Түргэн;Түргэн;50.09718;91.66772;1225.6
УВС;18;Баруунмөрөн;Баруунмөрөн;49.66751;90.29621;1486.79
ХЭНТИЙ;1;Баян-Овоо;Баян-Овоо;48.61586;110.59964;1049.9
ХЭНТИЙ;2;Биндэр;Биндэр;48.61586;110.59964;1049.9
ХЭНТИЙ;3;Дадал;Дадал;49.02229;111.61208;994.31
ХЭНТИЙ;4;Галшар;Галшар;46.243;110.84006;1181.39
ХЭНТИЙ;5;Дэлгэрхаан;Хэрлэнбаян-Улаан;47.21347;108.73763;1250.25
ХЭНТИЙ;6;Өмнөдэлгэр;Өмнөдэлгэр;47.89164;109.80197;1342.3
ХЭНТИЙ;7;Хэрлэн;Өндөрхаан;47.30838;110.62471;1032.79
ХЭНТИЙ;8;Дархан;Оргил;46.63183;109.40939;1272.0
ХЭНТИЙ;9;Дэлгэрхаан;Дэлгэрхаан;47.18143;109.19052;1243.93
ХЭНТИЙ;10;Хэрлэн;Өлзийт;47.50782;110.18363;1138.26
ХЭНТИЙ;11;Батноров;Батноров;47.94696;111.50425;1047.69
ХЭНТИЙ;12;Жаргалтхаан;Жаргалтхаан;47.48;109.46408;1342.14
ХЭНТИЙ;13;Батширээт;Батширээт;48.68831;110.17361;1117.0
