aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
ХЭНТИЙ;Галшар;WEATHER;Галшар;46.243;110.84006;1181.39;
ХЭНТИЙ;Дэлгэрхаан;WEATHER;Хэрлэнбаян-Улаан;47.21347;108.73763;1250.25;
ХЭНТИЙ;Өмнөдэлгэр;WEATHER;Өмнөдэлгэр;47.89164;109.80197;1342.3;
ХЭНТИЙ;Хэрлэн;WEATHER;Өндөрхаан;47.30838;110.62471;1032.79;
ХЭНТИЙ;Дархан;WEATHER;Оргил;46.63183;109.40939;1272.0;
ХЭНТИЙ;Дэлгэрхаан;WEATHER;Дэлгэрхаан;47.18143;109.19052;1243.93;
ХЭНТИЙ;Хэрлэн;WEATHER;Өлзийт;47.50782;110.18363;1138.26;
ХЭНТИЙ;Батноров;WEATHER;Батноров;47.94696;111.50425;1047.69;
ХЭНТИЙ;Жаргалтхаан;WEATHER;Жаргалтхаан;47.48;109.46408;1342.14;
ХЭНТИЙ;Батширээт;WEATHER;Батширээт;48.68831;110.17361;1117.0;
ХЭНТИЙ;Норивлин;WEATHER;Норивлин;48.69163;111.98735;1032.88;
ХЭНТИЙ;Баянмөнх;WEATHER;Баянмөнх;46.90183;109.75839;1112.06;
ХЭНТИЙ;Баян-Адрага;WEATHER;Баян-Адрага;48.55578;111.08107;1031.94;
ХЭНТИЙ;Гурванбаян;WEATHER;Гурванбаян;48.18474;110.32285;1206.36;
ХЭНТИЙ;Цэнхэрмандал;WEATHER;Цэнхэрмандал;47.74749;109.05622;1434.23;
ХОВД;Булган;WEATHER;Байтаг;46.09448;91.55265;1184.55;
ХОВД;Чандмань;WEATHER;Чандмань;47.66401;92.81257;1659.66;
ХОВД;Ховд;WEATHER;Дунд-Ус;48.12628;91.37364;1711.27;
ХОВД;Жаргалант;WEATHER;Ховд;47.99575;91.63327;1404.7;
ХОВД;Манхан;WEATHER;Манхан;47.41953;92.22397;1353.76;
ХОВД;Мөнххайрхан;WEATHER;Мөнххайрхан;47.06509;91.8527;2094.68;
ХОВД;Мест;WEATHER;Мест;46.69164;92.79772;2031.8;
ХОВД;Цэцэг;WEATHER;Цэцэг;46.59072;93.27201;1717.62;
ХОВД;Зэрэг;WEATHER;Зэрэг;47.10756;92.83816;1152.85;
ХОВД;Дөргөн;WEATHER;Дөргөн;48.33819;92.62625;1186.25;
ХОВД;Мянгад;WEATHER;Мянгад;48.2378;91.92386;1179.24;
ХОВД;Дуут;WEATHER;Дуут;47.52098;91.62499;2283.12;
ХОВД;Дарви;WEATHER;Дарви;46.93741;98.61236;1472.8;
ХОВД;Алтай;WEATHER;Алтай;46.02065;92.5238;1544.14;
ХОВД;Эрдэнэбүрэн;WEATHER;Эрдэнэбүрэн;48.49704;91.43623;1266.39;
ХОВД;Үенч;WEATHER;Үенч;46.0659;92.03903;1416.1;
ХӨВСГӨЛ;Баянзүрх;WEATHER;Баянзүрх;50.17884;98.97567;1631.6;
ХӨВСГӨЛ;Цэцэрлэг;WEATHER;Чандагат;49.52237;97.73467;1744.9;
ХӨВСГӨЛ;Эрдэнэбулган;WEATHER;Эрдэнэбулган;50.11975;101.58216;1149.5;
ХӨВСГӨЛ;Жаргалант;WEATHER;Жаргалант;48.58015;99.34751;1577.8;
ХӨВСГӨЛ;Алаг-Эрдэнэ;WEATHER;Хатгал;50.43943;100.15073;1667.42;
ХӨВСГӨЛ;Мөрөн;WEATHER;Мөрөн;49.63879;100.16663;1287.15;
ХӨВСГӨЛ;Рашаант;WEATHER;Рашаант;49.12109;101.45597;1382.85;
ХӨВСГӨЛ;Ренчинлхүмбэ;WEATHER;Ренчинлхүмбэ;51.11417;99.66819;1582.5;
ХӨВСГӨЛ;Шинэ-Идэр;WEATHER;Шинэ-Идэр;48.95023;99.53462;1694.9;
ХӨВСГӨЛ;Тариалан;WEATHER;Тариалан;49.60926;101.98452;1217.15;
ХӨВСГӨЛ;Цагаан-Үүр;WEATHER;Цагаан-Үүр;50.55243;101.51425;1139.43;
ХӨВСГӨЛ;Тосонцэнгэл;WEATHER;Тосонцэнгэл;49.47438;100.90232;1308.0;
ХӨВСГӨЛ;Улаан-Уул;WEATHER;Улаан-Уул;50.6779;99.2292;1682.8;
ХӨВСГӨЛ;Төмөрбулаг;WEATHER;Төмөрбулаг;49.29164;100.25161;1432.8;
ХӨВСГӨЛ;Цагаан-Уул;WEATHER;Цагаан-Уул;49.60322;98.69302;1828.4;
ХӨВСГӨЛ;Арбулаг;WEATHER;Арбулаг;49.91432;99.45052;1888.0;
ХӨВСГӨЛ;Алаг-Эрдэнэ;WEATHER;Алаг-Эрдэнэ;50.1203;100.0458;1569.86;
ХӨВСГӨЛ;Түнэл;WEATHER;Түнэл;49.85806;100.63142;1510.5;
ХӨВСГӨЛ;Чандмань-Өндөр;WEATHER;Чандмань-Өндөр;50.47647;100.92662;1284.48;
