aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
Хөвсгөл;Мөрөн;AWS;Мөрөн;49.63880556;100.1694444;1288;AWS index=231
Хөвсгөл;Рашаант;AWS;Рашаант;49.12116667;101.4560833;1384;AWS index=223
Хөвсгөл;Рэнчинлхүмбэ;AWS;Рэнчинлхүмбэ;51.11422222;99.66683611;1582;AWS index=203
Хөвсгөл;Тариалан;AWS;Тариалан;49.60930556;101.9847222;1217;AWS index=230
Хөвсгөл;Баянзүрх;AWS;Баянзүрх;50.17902778;98.97583333;1632;AWS index=206
Хөвсгөл;Хатгал;AWS;Хатгал;50.43858333;100.1520278;1666;AWS index=207
Хөвсгөл;Чандагат;AWS;Чандагат;49.52207222;97.73443333;1745;AWS index=222
Хөвсгөл;Жаргалан;AWS;Жаргалан;48.58033333;99.34761111;1577;AWS index=238
Хөвсгөл;Цагаан-Уул;AWS;Цагаан-Уул;49.60315833;98.69404444;1828;AWS index=889
Хөвсгөл;Шинэ-Идэр;AWS;Шинэ-Идэр;48.95022222;99.53480556;1700;AWS index=234
Хөвсгөл;Цагаан-Үүр;AWS;Цагаан-Үүр;50.54308;101.514993;1139;AWS index=208
Хөвсгөл;Эрдэнэбулган;AWS;Эрдэнэбулган;50.11986111;101.5824444;1150;AWS index=202
Сүхбаатар;Мөнххаан;AWS;Мөнххаан;47.30833333;111.6243889;1225;AWS index=753
Хэнтий;Баян-Овоо;AWS;Баян-Овоо;47.78588889;112.1106111;926;AWS index=302
Хэнтий;Гурванбаян;AWS;Гурванбаян;48.18475;110.3228056;1206;AWS index=919
Хэнтий;Баянмөнх;AWS;Баянмөнх;46.90183333;109.7583056;1243;AWS index=909
Хэнтий;Жаргалтхаан;AWS;Жаргалтхаан;47.48683333;109.4733056;1034;AWS index=913
Хэнтий;Дэлгэрхаан;AWS;Дэлгэрхаан;47.1815;109.1903333;1339;AWS index=912
Хэнтий;Цэнхэрмандал;AWS;Цэнхэрмандал;47.74711111;109.0562222;1434;AWS index=918
Хэнтий;Батширээт;AWS;Батширээт;48.68841667;110.1710833;1032;AWS index=907
Хэнтий;Батноров;AWS;Батноров;47.94708333;111.5041111;1106;AWS index=906
Хэнтий;Баян-Адрага;AWS;Баян-Адрага;48.5515;111.07175;1112;AWS index=908
Хэнтий;Өлзийт;AWS;Өлзийт;48.69163889;111.9871667;1324;AWS index=916
Хэнтий;Өндөрхаан;AWS;Өндөрхаан;47.50780556;110.1835;1030;AWS index=304
Хэнтий;Биндэр;AWS;Биндэр;48.61597222;110.5993056;1050;AWS index=257
Хэнтий;Хэрлэнбаян-Улаан;AWS;Хэрлэнбаян-Улаан;47.21361111;108.7377222;1251;AWS index=301
Хэнтий;Дадал;AWS;Дадал;49.02225;111.6116667;940;AWS index=254
Хэнтий;Оргил;AWS;Оргил;46.63177778;109.4094444;1272;AWS index=299
Хэнтий;Өмнөдэлгэр;AWS;Өмнөдэлгэр;47.89183333;109.8028333;1050;AWS index=303
Хэнтий;Галшар;AWS;Галшар;46.24286111;110.8400833;1181;AWS index=307
Дархан-Уул;Дархан;AWS;Дархан;49.49023611;105.9397833;707;AWS index=244
Дархан-Уул;Шаазгайт;AWS;Шаазгайт;49.24458889;106.4118472;910;AWS index=251
Орхон;Эрдэнэт-Овоо;AWS;Эрдэнэт-Овоо;49.03677778;104.0853889;1300;AWS index=236
Орхон;Улаантолгой;AWS;Улаантолгой;49.06638888;104.4136111;1052;AWS index=19
ГовьСүмбэр;Чойр;AWS;Чойр;46.35063056;108.3937389;1286;AWS index=298
Улаанбаатар;Амгалан;AWS;Амгалан;47.91129167;106.9971139;1315;AWS index=249
Улаанбаатар;Багануур;AWS;Багануур;47.80650556;108.3389083;1375;AWS index=296
Улаанбаатар;Улаанбаатар;AWS;Улаанбаатар;47.91844722;106.8478889;1303;AWS index=292
Улаанбаатар;Тэрэлж;AWS;Тэрэлж;47.98866389;107.4565639;1523;AWS index=248
Улаанбаатар;Буянт-Ухаа;AWS;Буянт-Ухаа;47.84943611;106.7547833;1271;AWS index=291
Улаанбаатар;Өлзийт;AWS;Өлзийт;47.79641111;106.7031167;1360;AWS index=942
Улаанбаатар;Партизан;AWS;Партизан;48.12588611;106.6270389;1321;AWS index=941
Төв;Зуунмод;AWS;Зуунмод;47.64059;106.9804;1549;AWS index=290
Улаанбаатар;Хуурай мухар;AWS;Хуурай мухар;48.066;106.901;1415;AWS index=951
Улаанбаатар;Хан-Уул;AWS;Хан-Уул;47.9002624;106.89904;1284;AWS index=226
Улаанбаатар;Буянт-Ухаа;AWS;Буянт-Ухаа;47.84;106.7415;1271;AWS index=291
Улаанбаатар;Залаат;AWS;Залаат;47.8804;106.9804;1354;AWS index=2922
Төв;Нөхөрлөл;AWS;Нөхөрлөл;47.64059;105.9377;1236;AWS index=810
